"filename", "language", "Python", "Django txt", "Markdown", "JSON", "CSV", "TSV", "log", "Excel", "comment", "blank", "total"
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto39.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto4.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto40.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto41.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto42.log", "log", 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto43.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto44.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto45.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto46.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto47.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto48.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto49.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto5.log", "log", 0, 0, 0, 0, 0, 0, 31, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto50.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto51.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto52.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto53.log", "log", 0, 0, 0, 0, 0, 0, 34, 0, 0, 1, 35
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto6.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto7.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto8.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\logs\rf-auto9.log", "log", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\savefromgui.csv", "CSV", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1, 1474
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\testing\test_output.csv", "CSV", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1, 1474
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\testing\test_report.txt", "Django txt", 0, 31, 0, 0, 0, 0, 0, 0, 0, 1, 32
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\output\yet_another_test.csv", "CSV", 0, 0, 0, 0, 1473, 0, 0, 0, 0, 1, 1474
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\requirements.txt", "Django txt", 0, 85, 0, 0, 0, 0, 0, 0, 0, 1, 86
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\rf-auto.py", "Python", 103, 0, 0, 0, 0, 0, 0, 0, 38, 35, 176
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\tkui\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\tkui\elements.py", "Python", 267, 0, 0, 0, 0, 0, 0, 0, 23, 52, 342
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\tkui\mainapp.py", "Python", 459, 0, 0, 0, 0, 0, 0, 0, 55, 54, 568
"c:\Users\J C\Documents\GitHub\niclassify\niclassify\tkui\twocolumnselect.py", "Python", 141, 0, 0, 0, 0, 0, 0, 0, 5, 22, 168
"Total", "-", 1592, 1770, 3, 28, 11281, 1473, 384, 30660, 337, 651, 48179
