Group	Species	N	Status	Regions	Group2	MLdistance	MLsimilarity	AAdistance	AAsimilarity	ZtestDistance	ZtestSimilarity	Nsdistance	Nssimilarity	PatristicDistance	PatristicSimilarity
Group_3	Lasius neoniger	17	native	nearctic	group_3	0.09717229	0.00628862	0.02043171	0.00156925	0	0.25771467	0.01077098	0.00067404	0.09832353	0.00790441
Group_30		1	NA	NA	group_30	0.02950414	NA	0.00493828	NA	0	NA	0.0039139	NA	0.029	NA
Group_31		1	NA	NA	group_31	0.06256973	NA	0.00990107	NA	0	NA	0.01166513	NA	0.029	NA
Group_32		10	NA	NA	group_32	0.08781729	0.00061033	0.03000225	0	0	0.83140566	0.02430675	0	0.0618	0.0006
Group_33	Bombus impatiens	4	native	nearctic / neotropic	group_33	0.03821661	0	0.01970116	0	0	1	0.00845913	0	0.043	0.007
Group_34		1	NA	NA	group_34	0.17186236	NA	0.06706423	NA	0	NA	0.05234916	NA	0.168	NA
Group_35	Ecclitura primoris	1	native	nearctic	group_35	0.19644854	NA	0.22431246	NA	0	NA	0.1467276	NA	0.197	NA
Group_36	Ponera pennsylvanica	2	native	nearctic	group_36	0.03028173	0	0	0	0	1	0	0	0.0305	0
Group_37		1	NA	NA	group_37	0.1777497	NA	0.16332506	NA	0	NA	0.09546547	NA	0.174	NA
Group_38	Temnothorax schaumii	2	native	nearctic	group_38	0.19341481	0	0.07144458	0	0	1	0.05471308	0	0.2025	0
Group_39		2	NA	NA	group_39	0.14799746	0	0.06453852	0	0	1	0.03829138	0	0.1495	0.001
Group_4	Monomorium emarginatum	3	native	nearctic	group_4	0.21100665	0	0.08080403	0	0	1	0.06844124	0	0.19733333	0.00433333
Group_40	Apis mellifera	3	introduced	cosmopolitan	group_40	0.1573834	0.00105712	0.15445551	0.00318219	0	0.54588335	0.08091228	0.00137741	0.18633333	0.006
Group_41	Myrmica rubra	3	introduced	nearctic / palearctic	group_41	0.13437611	0.00101619	0.03879713	0.00305111	0	0.54590088	0.02861006	0.00130463	0.14166667	0.00133333
Group_42		1	NA	NA	group_42	0.2332125	NA	0.11351462	NA	0	NA	0.08880695	NA	0.217	NA
Group_43		1	NA	NA	group_43	0.14048612	NA	0.03248546	NA	0	NA	0.01910932	NA	0.1375	NA
Group_44		1	NA	NA	group_44	0.16455522	NA	0.05635294	NA	0	NA	0.03349677	NA	0.164	NA
Group_45		1	NA	NA	group_45	0.04721605	NA	0	NA	0	NA	0	NA	0.047	NA
Group_46		1	NA	NA	group_46	0.05563847	NA	0.00474534	NA	0	NA	0.00203809	NA	0.047	NA
Group_47		3	NA	NA	group_47	0.13613814	0.00101574	0.07586575	0.00305111	0	0.54590211	0.03720901	0.00129955	0.13433333	0.00133333
Group_48	Polistes aurifer	3	native	nearctic	group_48	0.22563008	0.002084	0.1815598	0	0	0.43796605	0.10391836	0	0.21966667	0.004
Group_49		1	NA	NA	group_49	0.12530394	NA	0.07586575	NA	0	NA	0.03562983	NA	0.117	NA
Group_5		12	NA	NA	group_5	0.05210228	0.00025543	0.00457667	0	0	0.88627889	0.00196721	0	0.05283333	0.00171212
Group_50		8	NA	NA	group_50	0.05902218	0.00612936	0.00457667	0	0	0.41910397	0.00198544	0	0.059125	0.00621429
Group_51		1	NA	NA	group_51	0.06188753	NA	0	NA	0	NA	0	NA	0.059	NA
Group_52		1	NA	NA	group_52	0.18332214	NA	0.1008047	NA	0	NA	0.06950834	NA	0.178	NA
Group_53	Cymodusa distincta	1	native	nearctic	group_53	0.16657054	NA	0.105868	NA	0	NA	0.07437375	NA	0.172	NA
Group_54		1	NA	NA	group_54	0.19573706	NA	0.105868	NA	0	NA	0.07395655	NA	0.2	NA
Group_55		1	NA	NA	group_55	0.18021764	NA	0.15262977	NA	0	NA	0.10928386	NA	0.179	NA
Group_56		1	NA	NA	group_56	0.16642844	NA	0.07659245	NA	0	NA	0.06157657	NA	0.169	NA
Group_57	Dolichoderus sp.	2	NA		group_57	0.18401137	0	0.07586575	0	0	1	0.0439499	0	0.182	0
Group_58		1	NA	NA	group_58	0.16108314	NA	0.13554549	NA	0	NA	0.0735413	NA	0.16	NA
Group_59		1	NA	NA	group_59	0.21474932	NA	0.14732471	NA	0	NA	0.09415434	NA	0.196	NA
Group_6	Prenolepis imparis	10	native	nearctic	group_6	0.1447067	0.00162606	0.03694767	0.00174962	0	0.47711606	0.03437972	0.00075981	0.15145	0.00282222
Group_60		1	NA	NA	group_60	0.23026104	NA	0.09576691	NA	0	NA	0.07735594	NA	0.252	NA
Group_61		1	NA	NA	group_61	0.13973104	NA	0.09075436	NA	0	NA	0.06035426	NA	0.139	NA
Group_62		1	NA	NA	group_62	0.12745392	NA	0.08659253	NA	0	NA	0.04921478	NA	0.125	NA
Group_63	Apanteles ensiger	2	native	nearctic	group_63	0.14810976	0	0.07586575	0	0	1	0.05069497	0	0.144	0
Group_64		1	NA	NA	group_64	0.21130357	NA	0.11426809	NA	0	NA	0.07500893	NA	0.182	NA
Group_65		1	NA	NA	group_65	0.1223604	NA	0.06606175	NA	0	NA	0.03092193	NA	0.135	NA
Group_66		1	NA	NA	group_66	0.10401721	NA	0.05635294	NA	0	NA	0.03050144	NA	0.103	NA
Group_67	Osmia simillima	1	native	nearctic	group_67	0.04865297	NA	0.01519017	NA	0	NA	0.0108501	NA	0.048	NA
Group_68		1	NA	NA	group_68	0.05307464	NA	0.02421426	NA	0	NA	0.01448321	NA	0.053	NA
Group_69		1	NA	NA	group_69	0.17306196	NA	0.105868	NA	0	NA	0.07549692	NA	0.103	NA
Group_7	Tapinoma sessile	6	native	nearctic	group_7	0.07585189	0.01091964	0.00470589	0	0	0.01983497	0.00408396	0	0.07766667	0.01233333
Group_70	Perilampus stygicus	1	native	nearctic	group_70	0.14487628	NA	0.11488028	NA	0	NA	0.06846857	NA	0.143	NA
Group_71	Lasius alienus	1	NA	cosmopolitan	group_71	0.10466677	NA	0.00917438	NA	0	NA	0.00592888	NA	0.11182353	NA
Group_72	Lasius claviger	2	native	nearctic	group_72	0.09242234	0	0.01379332	0	0	1	0.00989134	0	0.099	0
Group_73		2	NA	NA	group_73	0.09063766	0.01225895	0.0395889	0.00457667	0	0.01099861	0.01886993	0.00196464	0.08725	0.012
Group_74		1	NA	NA	group_74	0.0807023	NA	0.0184337	NA	0	NA	0.01186968	NA	0.079	NA
Group_75	Lasius flavus	2	NA	cosmopolitan	group_75	0.10080606	0.00611024	0.01881917	0	0	0.04479753	0.01371869	0	0.079	0.006
Group_76	Ceratina calcarata	13	native	nearctic	group_76	0.16519946	0.0155146	0.1367983	0	0	0.04652208	0.07967666	0	0.15884615	0.01653846
Group_77		1	NA	NA	group_77	0.17800471	NA	0.11607217	NA	0	NA	0.06941367	NA	0.18	NA
Group_78		1	NA	NA	group_78	0.13677191	NA	0.04317217	NA	0	NA	0.03592566	NA	0.121	NA
Group_79	Lasioglossum coriaceum	1	native	nearctic	group_79	0.1415706	NA	0.0419642	NA	0	NA	0.03207973	NA	0.138	NA
Group_8	Diolcogaster jft29	6	NA		group_8	0.19382497	0	0.19611488	0	0	1	0.12543806	0	0.188	0
Group_80		1	NA	NA	group_80	0.09038089	NA	0.0419642	NA	0	NA	0.02473023	NA	0.089	NA
Group_81	Halictus rubicundus	1	NA	nearctic / palearctic	group_81	0.13169333	NA	0.0419642	NA	0	NA	0.02894571	NA	0.14	NA
Group_82		1	NA	NA	group_82	0.16290219	NA	0.12121357	NA	0	NA	0.06287464	NA	0.13433333	NA
Group_83	Lasioglossum pectorale	1	native	nearctic	group_83	0.08666498	NA	0.01690181	NA	0	NA	0.01087851	NA	0.085	NA
Group_84		1	NA	NA	group_84	0.16304202	NA	0.12638154	NA	0	NA	0.08307664	NA	0.179	NA
Group_85		1	NA	NA	group_85	0.05558582	NA	0.03278982	NA	0	NA	0.01587886	NA	0.056	NA
Group_86	Sphecodes autumnalis	1	native	nearctic	group_86	0.12573921	NA	0.06669137	NA	0	NA	0.04200086	NA	0.056	NA
Group_87	Glyptapanteles carlossarmientoi	2	NA	NA	group_87	0.10925278	0	0.11095707	0	0	1	0.05209488	0	0.108	0
Group_88	Anthidiellum notatum	1	native	nearctic	group_88	0.16198994	NA	0.15338645	NA	0	NA	0.09843314	NA	0.145	NA
Group_89	Nomada imbricata	1	native	nearctic	group_89	0.07852799	NA	0.01438874	NA	0	NA	0.00814672	NA	0.083	NA
Group_9	Urocerus albicornis	1	native	nearctic	group_9	0.08852841	NA	0.01474228	NA	0	NA	0.00847168	NA	0.088	NA
Group_90		2	NA	NA	group_90	0.06745689	0.00481304	0.01379332	0	0	0.08239354	0.00781257	0	0.0735	0.007
Group_91		1	NA	NA	group_91	0.04652617	NA	0.00457667	NA	0	NA	0.00194805	NA	0.06	NA
Group_92	Nomada denticulata	1	native	nearctic	group_92	0.05072998	NA	0.00917438	NA	0	NA	0.00584608	NA	0.063	NA
Group_93		2	NA	NA	group_93	0.02570418	0.01774136	0.00477328	0.01591546	0	0.01957468	0.00202429	0.00673153	0.0245	0.027
Group_94		3	NA	NA	group_94	0.03581043	0	0.00917438	0	0	1	0.00389358	0	0.04166667	0.00866667
Group_95		1	NA	NA	group_95	0.03494933	NA	0.01007578	NA	0	NA	0.00428141	NA	0.0395	NA
Group_96		1	NA	NA	group_96	0.16760704	NA	0.08080403	NA	0	NA	0.05176217	NA	0.153	NA
Group_97		3	NA	NA	group_97	0.15606399	0	0.09763847	0	0	1	0.0659881	0	0.152	0
Group_98	Vespula vidua	1	native	nearctic	group_98	0.1350418	NA	0.04772884	NA	0	NA	0.04198162	NA	0.1355	NA
Group_99		1	NA	NA	group_99	0.14762376	NA	0.02777956	NA	0	NA	0.01604876	NA	0.155	NA
