Order,Order_Group,Species,Classification,Classification_Simple,AA_Dist,dN_Dist,dS_Dist,ML_Dist,P_Dist,Ztest_Dist,AA_Sim,dN_Sim,dS_Sim,ML_Sim,P_Sim,Ztest_Sim
Diptera,Diptera_Group_291,Chrysomya_varipes,P,NA,0.0049182904,0.0063224821,0.4324600232,0.1027806323,0.0957701895,8.19E-08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_292,Coenosia_attenuata,NA,NA,0.01444745605,0.01379634765,0.3588911389,0.09108509507,0.08528014567,2.16E-07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_293,Polytrichophora_sp,NA,NA,0.01573038943,0.02651095643,0.448479713,0.1224793399,0.1113060863,0.0001249752067,0.0039926055,0.001766752767,0.0053884527,0.002636162933,0.002628918333,0.6816452116
Diptera,Diptera_Group_294,Lucilia_cuprina,NA,NA,0.00479262535,0.0142175562,0.4899544058,0.1089232797,0.1003323024,3.80E-08,0,0,0,0,0,1
Diptera,Diptera_Group_295,Musca_domestica,I,0,0.01993608615,0.0195899297,0.462150846,0.1196158279,0.1088921683,3.76E-07,0.0070671672,0.0030896027,0.0722207028,0.0189772186,0.018735363,0.0105049614
Diptera,Diptera_Group_296,Hyperlasion_sp,NA,NA,0.02685833605,0.0241205813,0.706100101,0.1464467727,0.1332546718,1.59E-09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Diptera,Diptera_Group_297,Hyperlasion_sp,NA,NA,0.1130494435,0.07535508183,0.9118603143,0.2384183361,0.2001713928,1.35E-08,0,0,0,0,0,1
Diptera,Diptera_Group_298,Sciaridae_sp,NA,NA,0.150719773,0.09407844435,0.5733856778,0.2228139456,0.1887366819,1.55E-06,0.0092166551,0.0039906978,0.013318885,0.0061170255,0.0060882801,0.3431503089
Diptera,Diptera_Group_299,Sciaridae_sp,NA,NA,0.0423463248,0.03484705083,0.7942678393,0.193845702,0.1679350584,1.10E-10,0.003065139467,0.0013404834,0,0.001016054133,0.001014713333,0.545892247
Diptera,Diptera_Group_3,Mycetophilidae_sp,NA,NA,0.0762273654,0.05472413398,1.068508953,0.2212639735,0.1902587519,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
