Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,ML_Similarity,dS_Distance,AA_Similarity,Ztest_Similarity,dN/dS_Similarity,predict,prob. introduced,prob. native,ML_Distance,dN_Distance,dN_Similarity,dS_Similarity,AA_Distance,Ztest_Distance,dN/dS_Distance
11,Coleoptera_Group_105,,,,,0,,2,0.0201651831,0.58333295,0.0,0.00026185,0.0,native,0.3099449542683196,0.6900550457316799,0.19007311612196415,0.039840822717429655,0.0,0.06420703237497946,0.02471082807331744,0.0,0.03630143221546829
12,Coleoptera_Group_106,Quedius laticollis,native,33.0,50.0,1,1.0,6,0.01501743775,0.65469838,0.01274928,0.27377709,0.119491815,introduced,0.6390556064995657,0.36094439350043545,0.24983539884938072,0.08215391682785499,0.0894861530956174,0.03455124440018599,0.06476792868085272,0.0,0.06669587552528197
13,Coleoptera_Group_107,,,,,0,,2,0.0045775894,0.73852402,0.0,0.08295513,0.0,native,0.28625558547431823,0.7137444145256808,0.24955756549144548,0.02916222056672582,0.0,0.013996328991931713,0.0,0.0,0.020987849223487644
14,Coleoptera_Group_108,,,,,0,,1,,0.70179692,,,,introduced,0.5709563399822638,0.4290436600177367,0.23051117665545384,0.0654599990897347,0.014755502862061018,0.02300575183692591,0.049534743468119084,0.0,0.04957657350910848
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,0.0010158184,0.6393668,0.0,0.54520587,0.0,introduced,0.5856512432245711,0.4143487567754289,0.26912445592928136,0.06966900473625627,0.0,0.0031166730306514943,0.036894373791542215,0.0,0.05791639154085435
16,Coleoptera_Group_11,,,,,0,,1,,0.79810566,,,,introduced,0.6672961300057355,0.33270386999426527,0.4213313058335771,0.33668888613277137,0.014755502862061018,0.02300575183692591,0.2930569461913487,0.0,0.22422310387461014
17,Coleoptera_Group_110,,,,,0,,1,,0.6275768,,,,native,0.4620822687095093,0.5379177312904905,0.22478031296627748,0.05824873617725329,0.014755502862061018,0.02300575183692591,0.02471082807331744,0.0,0.049332326449344495
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,,0.62887766,,,,introduced,0.5114461898985628,0.4885538101014374,0.23226644381661665,0.061403535020500465,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.05189663241346227
19,Coleoptera_Group_112,,,,,0,,1,,0.61649814,,,,native,0.4540452739393715,0.5459547260606284,0.22478031296627748,0.05419744365862955,0.014755502862061018,0.02300575183692591,0.036894373791542215,0.0,0.04672604276168458
20,Coleoptera_Group_113,,,,,0,,1,,0.5678531,,,,introduced,0.6476382021619478,0.3523617978380532,0.2318261497030571,0.0988376953312474,0.014755502862061018,0.02300575183692591,0.06888276879857921,0.0,0.09251210847843325
