,Number,Order_Group,Species Name,Final Status,Status Confidence,Count,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
77,80,Coleoptera_Group_166,Gastrellarius honestus,native,100.0,4.0,0.0,native,0.09443642243,0.0008094361333,0.01193956068,0.0,0.40505905,0.003351,0.007773476109,0.0,0.0,0.65885479,0.02947609906
78,81,Coleoptera_Group_167,,,,1.0,,native,0.09001635085,,0.002015453,,0.41538226,,0.0,,0.0,,0.004852043994
79,82,Coleoptera_Group_168,Pterostichus coracinus,native,100.0,60.0,0.3186467023,native,0.07723642372,0.0008044961845,0.01029855642,0.0005336025811,0.33041912,0.00167459,0.009643875632,0.00122071,0.0,0.80794811,0.03116816127
80,84,Coleoptera_Group_169,Pterostichus adoxus,native,100.0,26.0,0.0,native,0.02723855723,0.0003325231926,0.00169803603,0.0,0.11331895,0.00139562,0.0001228141091,0.0,2.11e-06,0.85626705,0.01498457257
81,86,Coleoptera_Group_17,Podabrus flavicollis,native,66.0,2.0,,native,0.1129961862,0.0,0.0060261456,0.0,0.58721864,0.0,0.0,0.0,0.0,1.0,0.01026218378
82,87,Coleoptera_Group_170,Pterostichus luctuosus,native,100.0,1.0,,native,0.0701816093,,0.0100875764,,0.28999183,,0.0091743763,,0.0,,0.0347857262
83,88,Coleoptera_Group_171,Pterostichus lachrymosus,native,100.0,15.0,,native,0.05461115979,0.0,0.002052224235,0.0,0.24468982,0.0,0.0,0.0,2.76e-10,1.0,0.00838704379
84,89,Coleoptera_Group_172,Poecilus lucublandus,native,100.0,8.0,0.01941632978,native,0.08212263516,0.006444636607,0.01154014401,0.0005009554821,0.34406244,0.02580073,0.00950794913,0.00114492,0.0,0.16947721,0.0335408422
85,90,Coleoptera_Group_173,Pterostichus mutus,native,100.0,16.0,0.0,native,0.07740851489,0.001373567725,0.009398346928,0.0,0.31958034,0.00482634,0.009543601668,0.0,0.0,0.65708395,0.02940840143
86,91,Coleoptera_Group_174,Pterostichus adstrictus,native,66.0,8.0,0.0,native,0.03191028303,0.0007392694964,0.002190483061,0.0,0.13272239,0.0030779,0.00492966698,0.0,1.12e-06,0.68323042,0.01650424665
87,92,Coleoptera_Group_175,,,,1.0,,native,0.09037037322,,0.009103281,,0.37185993,,0.0138570347,,0.0,,0.02448040315
88,93,Coleoptera_Group_176,Notiobia terminata,native,66.0,1.0,,native,0.08326521108,,0.0060545233,,0.3722485,,0.004576667,,0.0,,0.01626473525
89,94,Coleoptera_Group_177,Harpalus pensylvanicus,native,100.0,2.0,,native,0.0624240079,0.0,0.013144927,0.0,0.24012565,0.0,0.0230957148,0.0,2.27e-09,1.0,0.05474186952
90,95,Coleoptera_Group_178,Harpalus faunus,native,100.0,1.0,,native,0.0624240079,,0.0068209236,,0.24012565,,0.01036363258,,2.38e-10,,0.02840564346
91,96,Coleoptera_Group_179,Anisodactylus discoideus,native,100.0,1.0,,native,0.06282373929,,0.0060545233,,0.26396366,,0.004576667,,2.49e-10,,0.02293695769
92,97,Coleoptera_Group_18,Podabrus rugosulus,native,66.0,2.0,0.0,native,0.1129961862,0.0015231133,0.0060261456,0.0,0.58721864,0.00632915,0.0,0.0,0.0,0.31779923,0.01026218378
93,98,Coleoptera_Group_180,Trichotichnus autumnalis,native,100.0,10.0,0.1644079046,native,0.06282373929,0.002623708764,0.0068209236,0.001168448622,0.26396366,0.00710701,0.00564753335,0.00182557,0.0,0.46307701,0.02584038879
94,99,Coleoptera_Group_181,Agonum ferreum,native,100.0,2.0,0.0,native,0.08877729445,0.0015231133,0.0040268553,0.0,0.4100142,0.00631583,0.0,0.0,0.0,0.31780243,0.009821258142
95,100,Coleoptera_Group_182,Platynus cincticollis,native,100.0,1.0,,native,0.08387941665,,0.0070517645,,0.3526608,,0.004587335263,,0.0,,0.01999588415
96,101,Coleoptera_Group_183,Agonum mutatum,native,100.0,2.0,0.0,native,0.07310040829,0.0030495898,0.002015453,0.0,0.33970277,0.01250029,0.0,0.0,0.0,0.15731287,0.005932989596
97,102,Coleoptera_Group_184,Agonum moerens,native,100.0,22.0,0.0110110451,native,0.07310040829,0.01356801382,0.002385599264,0.0006279822545,0.33970277,0.05703203,0.0008321212727,0.00142649,0.0,0.11155015,0.007022607627
98,104,Coleoptera_Group_185,Sphaeroderus stenostomus,native,100.0,64.0,0.01707290064,native,0.04116335142,0.001918915275,6.332324844e-05,0.0001263681472,0.18154225,0.00740168,0.0001430208438,0.00028543,5.03e-10,0.43585827,0.000348807225
99,105,Coleoptera_Group_186,Cymindis cribricollis,native,100.0,23.0,0.0,native,0.05275385471,0.003813501614,0.0001234922678,0.0,0.23807982,0.01594487,0.0,0.0,4.19e-10,0.31278888,0.0005187011139
100,107,Coleoptera_Group_187,Pterostichus adoxus,native,100.0,112.0,0.06354427985,native,0.02723855723,0.002622599685,0.00169803603,0.0005775482406,0.11331895,0.00908891,0.0001228141091,0.00024461,2.27e-07,0.62317715,0.01498457257
101,109,Coleoptera_Group_188,Pterostichus coracinus,native,100.0,34.0,0.0,native,0.05461115979,0.001377337321,0.002052224235,0.0,0.24468982,0.00574,0.0,0.0,0.0,0.59538721,0.00838704379
102,110,Coleoptera_Group_189,Poecilus lucublandus,native,100.0,48.0,0.09784718604,native,0.03191028303,0.0005493875388,0.002190483061,0.000169080916,0.13272239,0.00172801,0.004793649427,0.00038357,1.79e-07,0.77443862,0.01650424665
103,113,Coleoptera_Group_19,Dichelonyx albicollis,native,100.0,1.0,,native,0.204628445,,0.0333968216,,0.95175094,,0.0230957148,,0.0,,0.03508987509
104,114,Coleoptera_Group_2,Dryophthorus americanus,,100.0,2.0,0.0,introduced,0.2769997855,0.0045835717,0.083904138,0.0,1.09796889,0.01879013,0.1160721713,0.0,0.0,0.08296107,0.07641759139
105,115,Coleoptera_Group_20,Myosides seriehispidus,introduced,33.0,1.0,,native,0.1934212622,,0.038231417,,0.85925985,,0.0419641991,,0.0,,0.04449342885
106,116,Coleoptera_Group_21,Tetartopeus furvulus,native,66.0,1.0,,native,0.2080005301,,0.0406813723,,0.78729204,,0.037740328,,0.0,,0.05167253095
107,117,Coleoptera_Group_22,,,,1.0,,native,0.2124220906,,0.0361764924,,0.95479663,,0.0467374779,,0.0,,0.03788921249
108,118,Coleoptera_Group_23,,,,2.0,0.0,native,0.2134740879,0.0030483589,0.0422647024,0.0,0.93040105,0.01265853,0.0611544232,0.0,0.0,0.15728043,0.04542632707
109,119,Coleoptera_Group_24,,,,2.0,0.0,native,0.1981816199,0.0091856196,0.01383605955,0.0,1.18637931,0.03735212,0.00687552165,0.0,0.0,0.01394118,0.01166242485
110,120,Coleoptera_Group_25,Ellychnia sp. KSH1376,,,2.0,0.02649348915,introduced,0.2225277898,0.0381730797,0.0672196168,0.0041095993,0.77005831,0.15511733,0.09320459365,0.00934586,0.0,3.25e-06,0.08729159328
111,121,Coleoptera_Group_26,Philonthus flavibasis,native,66.0,1.0,,native,0.0932694864,,0.0120793241,,0.38102216,,0.0246926126,,0.0,,0.03170241883
112,122,Coleoptera_Group_27,Philonthus flavibasis,native,66.0,1.0,,native,0.08264338025,,0.0041011722,,0.36451859,,0.0091743763,,0.0,,0.01125092742
113,123,Coleoptera_Group_28,Philonthus flavibasis,native,66.0,2.0,0.0,native,0.08264338025,0.0015237276,0.0041011722,0.0,0.36451859,0.00592888,0.0091743763,0.0,0.0,0.31789548,0.01125092742
114,124,Coleoptera_Group_29,Phyllophaga anxia,native,100.0,1.0,,native,0.1222961863,,0.006164776409,,0.61053157,,0.0,,0.0,,0.0100973917
115,125,Coleoptera_Group_3,,,,1.0,,introduced,0.2563273011,,0.0715251675,,1.07333128,,0.1058680011,,0.0,,0.0666384823
116,126,Coleoptera_Group_30,Phyllophaga hirticula,native,100.0,1.0,,native,0.1149944941,,0.0061037977,,0.57346587,,0.0091743763,,0.0,,0.01064369829
117,127,Coleoptera_Group_31,Phyllophaga hirticula,native,100.0,11.0,,native,0.05767323279,0.0,0.0,0.0,0.26095071,0.0,0.0,0.0,0.0,1.0,0.0
118,128,Coleoptera_Group_32,Phyllophaga hirticula,native,100.0,1.0,,native,0.05767323279,,0.0,,0.26095071,,0.0,,0.0,,0.0
119,129,Coleoptera_Group_33,Phyllophaga fraterna,native,100.0,9.0,0.03160436071,native,0.06006953922,0.003905041983,0.0002269118667,0.0004539783111,0.27493067,0.01436442,0.0005108565778,0.00102171,0.0,0.31361441,0.0008253421369
120,131,Coleoptera_Group_34,Bisnius blandus,native,33.0,1.0,,native,0.1916067714,,0.0244371738,,0.91658779,,0.0230957148,,0.0,,0.02666102916
121,132,Coleoptera_Group_35,Omonadus floralis,introduced,33.0,1.0,,native,0.1918730546,,0.0502630467,,0.71849732,,0.061195561,,0.0,,0.0699557887
122,133,Coleoptera_Group_36,,,,1.0,,native,0.1981778959,,0.0177824542,,1.07882281,,0.007648885367,,0.0,,0.01648320191
123,134,Coleoptera_Group_37,,,,1.0,,native,0.1796325383,,0.0228589122,,0.85925985,,0.0085106897,,1.1e-08,,0.02660302608
124,135,Coleoptera_Group_38,Contacyphon obscurus,native,100.0,2.0,0.01253165595,native,0.1892682279,0.0391691017,0.01383605955,0.0020332103,0.90329138,0.16224594,0.00687552165,0.00457667,0.0,7.84e-07,0.01531738247
125,137,Coleoptera_Group_39,Bruchidius villosus,introduced,100.0,1.0,,native,0.2023106626,,0.0523806866,,0.79352908,,0.0521857532,,0.0,,0.06600978832
126,138,Coleoptera_Group_4,Harmonia axyridis,introduced,100.0,5.0,,introduced,0.2396788141,0.0,0.1008029798,0.0,0.62226491,0.0,0.1314290064,0.0,0.0,1.0,0.1619936753
127,139,Coleoptera_Group_40,,,,1.0,,native,0.1946787355,,0.0185194594,,1.02772051,,0.016529302,,0.0,,0.01801993754
128,140,Coleoptera_Group_41,,,,1.0,,native,0.1919011175,,0.0332004413,,0.74037672,,0.0324854551,,0.0,,0.04484263268
129,141,Coleoptera_Group_42,Crepidodera nana,native,100.0,1.0,,native,0.1883745988,,0.0558462334,,0.72988358,,0.0660617507,,0.0,,0.07651389198
130,142,Coleoptera_Group_43,,,,1.0,,native,0.1889182879,,0.06018616,,0.63723355,,0.0663750689,,0.0,,0.09444913878
131,143,Coleoptera_Group_44,,,,3.0,0.0,native,0.1898124888,0.008169388567,0.0522792224,0.0,0.64963035,0.03489106,0.0660617507,0.0,0.0,0.10999325,0.08047533863
132,144,Coleoptera_Group_45,Popillia japonica,introduced,100.0,1.0,,native,0.1962278744,,0.02598433594,,0.84086082,,0.0230957148,,0.0,,0.03090206526
133,145,Coleoptera_Group_46,Stelidota octomaculata,native,100.0,6.0,0.01594770144,native,0.1870685677,0.01088044178,0.03749034782,0.0007058205467,0.81885038,0.04425845,0.05220829707,0.00160798,0.0,0.10519868,0.04578412459
134,146,Coleoptera_Group_47,Melanotus hyslopi,,100.0,1.0,,native,0.1408878859,,0.0112938479,,0.70336424,,0.004576667,,0.0,,0.01605689806
135,147,Coleoptera_Group_48,Melanotus communis,,100.0,1.0,,native,0.1408878859,,0.0122785826,,0.70336424,,0.004576667,,0.0,,0.01745693327
136,148,Coleoptera_Group_49,Platydracus cinnamopterus,native,66.0,4.0,0.0,native,0.1928643641,0.02338416323,0.0143987984,0.0,0.81251213,0.09948568,0.0,0.0,0.0,0.19289889,0.01772133346
137,149,Coleoptera_Group_5,Dictyoptera aurora,native,100.0,1.0,,introduced,0.2292116151,,0.086234545,,0.76550076,,0.1263815409,,0.0,,0.1126511553
138,150,Coleoptera_Group_50,,,,1.0,,native,0.1867500866,,0.0235459238,,0.83862961,,0.016529302,,0.0,,0.02807666641
139,151,Coleoptera_Group_51,,,,2.0,,native,0.2069593054,0.0,0.046433463,0.0,0.7818133,0.0,0.0521857532,0.0,0.0,1.0,0.05939200958
140,152,Coleoptera_Group_52,Ataenius spretulus,native,100.0,1.0,,native,0.2035070162,,0.0404203002,,0.90081211,,0.0515336501,,0.0,,0.04487095561
141,153,Coleoptera_Group_53,,,,1.0,,native,0.175224868,,0.01968368495,,0.79843254,,0.0184337017,,0.0,,0.02465290925
142,154,Coleoptera_Group_54,Dermestes lardarius,introduced,66.0,1.0,,native,0.1826500253,,0.0447738757,,0.72662749,,0.0467374779,,0.0,,0.06161874732
143,155,Coleoptera_Group_55,Telephanus velox,native,100.0,1.0,,native,0.1540304971,,0.0381001613,,0.58678728,,0.0432968058,,0.0,,0.06493010772
144,156,Coleoptera_Group_56,Stilbus apicialis,native,33.0,1.0,,native,0.104845966,,0.0182072326,,0.44982983,,0.0184337017,,0.0,,0.04047582305
145,157,Coleoptera_Group_57,Acylomus ergoti,native,66.0,1.0,,native,0.104845966,,0.0182072326,,0.44982983,,0.0184337017,,0.0,,0.04047582305
146,158,Coleoptera_Group_58,Trox scaber,introduced,66.0,1.0,,native,0.1846017142,,0.03445487161,,0.71323222,,0.0372135963,,0.0,,0.04830806944
147,159,Coleoptera_Group_59,Pedilus lugubris,,100.0,1.0,,introduced,0.1900917355,,0.0672394169,,0.58205817,,0.0907543633,,0.0,,0.1155200981
148,160,Coleoptera_Group_6,,,,1.0,,native,0.2307711596,,0.0228589122,,1.18609805,,0.0085106897,,0.0,,0.01927236302
