Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,dN/dS_Distance,dN/dS_Similarity,predict,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance
14,Coleoptera_Group_108,,,,,0,,1,0.026280469280000003,,introduced,0.23051117665545384,0.050379451310563414,0.0654599990897347,0.041723175312406005,0.2637276859402224,0.06532519391654026,0.049534743468119084,0.03820208068461324,0.0,0.5321156457992704,0.04957657350910848
15,Coleoptera_Group_109,Cercyon praetextatus,native,100.0,100.0,1,1.0,3,0.030701394649999998,0.0,introduced,0.26912445592928136,0.01457260700766447,0.06966900473625627,0.0,0.23775962237092424,0.01872919493273186,0.036894373791542215,0.0,0.0,0.5452058524904252,0.05791639154085435
16,Coleoptera_Group_11,,,,,0,,1,0.1188603402,,introduced,0.4213313058335771,0.050379451310563414,0.33668888613277137,0.041723175312406005,0.3037876999622842,0.06532519391654026,0.2930569461913487,0.03820208068461324,0.0,0.5321156457992704,0.22422310387461014
17,Coleoptera_Group_110,,,,,0,,1,0.02615099427,,introduced,0.22478031296627748,0.050379451310563414,0.05824873617725329,0.041723175312406005,0.2328555236845526,0.06532519391654026,0.02471082807331744,0.03820208068461324,0.0,0.5321156457992704,0.049332326449344495
18,Coleoptera_Group_111,Asaphidion curtum,introduced,100.0,100.0,1,1.0,1,0.02751032912,,introduced,0.23226644381661665,0.050379451310563414,0.061403535020500465,0.041723175312406005,0.23339662171823822,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.05189663241346227
19,Coleoptera_Group_112,,,,,0,,1,0.024769407090000004,,introduced,0.22478031296627748,0.050379451310563414,0.05419744365862955,0.041723175312406005,0.22824730977846625,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.04672604276168458
20,Coleoptera_Group_113,,,,,0,,1,0.049040533719999994,,introduced,0.2318261497030571,0.050379451310563414,0.0988376953312474,0.041723175312406005,0.20801320657554032,0.06532519391654026,0.06888276879857921,0.03820208068461324,0.0,0.5321156457992704,0.09251210847843325
21,Coleoptera_Group_114,,,,,0,,1,0.02224014113,,introduced,0.22838819707466473,0.050379451310563414,0.05235907592465039,0.041723175312406005,0.24772300389446578,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.04195472994934251
22,Coleoptera_Group_115,,,,,0,,1,0.0190961505,,introduced,0.19342860693446123,0.050379451310563414,0.03732140801422716,0.041723175312406005,0.2008602105221002,0.06532519391654026,0.051193901392492705,0.03820208068461324,0.0,0.5321156457992704,0.03602377487698532
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,100.0,1,1.0,6,0.02577371357,0.0,introduced,0.24955756549144548,0.5042182650935575,0.06521257416373492,0.0,0.2683421724339415,0.7086431154116675,0.012241667510788874,0.0,0.0,0.009189651853801595,0.04862060839903737
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,100.0,1,1.0,45,0.0006543550382999999,0.1069719024,native,0.1277061258061828,0.01898997928340166,0.0010368664112932427,0.05142551484200522,0.15751727470842045,0.018211393822139606,0.0013601852790954216,0.05046033678303305,0.0,0.5910889242569235,0.001234402639911133
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,2,0.000349,,native,0.04008290971237273,0.0,0.0002246648504861898,0.0,0.0475160326279211,0.0,0.00038255210984589234,0.0,1.9941708851050772e-09,0.9999999999999999,0.0006583681581305027
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,100.0,1,1.0,2,0.042118524670000004,0.0,introduced,0.20347293799001864,0.10983389135642578,0.0802534884989937,0.0,0.19512062645647107,0.1450513142151324,0.06177641097890796,0.0,0.0,0.02483809245626656,0.07945414186292848
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,100.0,1,1.0,1,0.06376922574,,introduced,0.3459518707851751,0.050379451310563414,0.17824144099367853,0.041723175312406005,0.29938796640417037,0.06532519391654026,0.1483288663286772,0.03820208068461324,8.666973462187451e-14,0.5321156457992704,0.12029692749527807
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,100.0,1,1.0,2,0.03883743022,0.038847843189999995,introduced,0.20482076136999655,0.6777154301717508,0.07511909007243134,0.8394037138618929,0.19849270384710818,0.8185368420046406,0.0633076599014652,0.467878421926851,0.0,4.185000161122506e-07,0.07326454842539634
29,Coleoptera_Group_121,Notiophilus aeneus,native,100.0,100.0,1,1.0,16,0.02616208972,0.0342187786,native,0.20375234977076917,0.057927926737753356,0.055430435449157635,0.06031139115351871,0.22011988720206982,0.06676811256402941,0.032337579729426365,0.058815909655368315,0.0,0.3636541455006846,0.04935325736905834
30,Coleoptera_Group_122,Platynus decentis,native,100.0,100.0,1,1.0,8,0.01143429714,0.0,native,0.19759280719251415,0.06438928298706924,0.025111607632655734,0.0,0.22919489062464404,0.08415040817932785,0.012270202977442586,0.0,0.0,0.29931022302344357,0.02157013509334864
31,Coleoptera_Group_123,,,,,0,,1,0.0549440361,,introduced,0.14754578503784305,0.050379451310563414,0.07914356992365792,0.041723175312406005,0.1406266187763197,0.06532519391654026,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992704,0.10364872162582478
32,Coleoptera_Group_124,Dyschirius dejeanii,native,100.0,100.0,1,1.0,1,0.0549440361,,introduced,0.14754578503784305,0.050379451310563414,0.07914356992365792,0.041723175312406005,0.1406266187763197,0.06532519391654026,0.036894373791542215,0.03820208068461324,2.65378125479368e-12,0.5321156457992704,0.10364872162582478
33,Coleoptera_Group_125,Bembidion immaturum,native,100.0,100.0,1,1.0,1,0.022857350180000003,,introduced,0.18989481551331533,0.050379451310563414,0.039840822717429655,0.041723175312406005,0.17608794008134787,0.06532519391654026,0.02471082807331744,0.03820208068461324,0.0,0.5321156457992704,0.04311905884742268
