Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
440,Diptera_Group_94,Culex restuans,native,33.0,15.0,native,0.02293369370141163,0.9770663062985883,0.060537335190524406,0.012226826320223332,0.0072115642402192605,0.0,0.06901644981531202,0.00562840123093131,0.0,0.0,6.580763920846756e-10,0.4313806781081561,0.01640221246456934,0.0
441,,Culiseta melanura,native,66.0,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
442,Diptera_Group_95,Culex restuans,native,33.0,9.0,native,0.003470361467394777,0.9965296385326052,0.060537335190524406,0.03692220737657186,0.0072115642402192605,0.0,0.06901644981531202,0.017342168064069973,0.0,0.0,1.4189292836324589e-09,0.1263779463655509,0.01640221246456934,0.0
443,,Culex salinarius,native,33.0,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
444,Diptera_Group_96,Psorophora ferox,native,33.0,20.0,introduced,0.537138315190538,0.46286168480946155,0.1538686266796811,0.03451003249233343,0.05495266750814715,0.0032449779875385228,0.12587158759430078,0.015726261292782016,0.02542300820438637,0.005711014218956627,5.062126092959043e-10,0.14999689727488053,0.07886031544064566,0.014672059372854988
445,Diptera_Group_97,Culex salinarius,native,33.0,16.0,introduced,0.5811558662108591,0.4188441337891408,0.1538686266796811,0.07610948233624176,0.05767157359603736,0.0,0.12587158759430078,0.03570774127221707,0.037296390569116336,0.0,1.0016873753643196e-08,0.06576394403191184,0.08276210586340063,0.0
446,,Culex territans,native,33.0,,introduced,0.664337879925706,0.33566212007429375,,,,,,,,,,,,
447,Diptera_Group_98,,,,1.0,introduced,0.657592033056386,0.34240796694361386,0.20601975226685215,,0.10423544014583312,,0.1810199326487974,,0.08689209860691886,,1.507899984660224e-09,,0.11015277180514874,
448,Diptera_Group_99,,,,1.0,introduced,0.6568940145123446,0.34310598548765525,0.20261400769136373,,0.07557970465690077,,0.1867586556894664,,0.053320018893715154,,0.0,,0.0777378723020741,
449,Ephemeroptera_Group_1,Centroptilum triangulifer,native,100.0,1.0,introduced,0.6545640870926469,0.34543591290735315,0.3735134498883666,,0.09467234831178092,,0.4789462779864673,,0.11716323476045579,,0.0,,0.041272225014720845,
450,Ephemeroptera_Group_10,,,,7.0,native,0.15811417981567183,0.8418858201843286,0.16982649028466895,0.014477893163339134,0.003777102378134407,0.0,0.21519846402797235,0.006470785271916409,0.0,0.0,0.0,0.4393758284159694,0.003430997447969018,0.0
451,Ephemeroptera_Group_11,Leptophlebia nebulosa,native,100.0,2.0,native,0.13717259741326093,0.8628274025867394,0.16982649028466895,0.03169488844263465,0.003777102378134407,0.0,0.21519846402797235,0.014144294584595858,0.0,0.0,0.0,0.08292504469261422,0.003430997447969018,0.0
452,Ephemeroptera_Group_12,Epeorus fragilis,native,100.0,1.0,native,0.4936822637082964,0.5063177362917037,0.3908984402338741,,0.05343073173347128,,0.6261417476940723,,0.025596361972832757,,0.0,,0.01805311218882474,
453,Ephemeroptera_Group_13,Leucrocuta aphrodite,native,100.0,1.0,native,0.4795667655344582,0.5204332344655419,0.37559142340309354,,0.03806866034314142,,0.5924370379345427,,0.025596361972832757,,0.0,,0.01356113189029908,
454,Ephemeroptera_Group_14,Stenonema femoratum,native,100.0,1.0,native,0.1499108663975605,0.8500891336024394,0.25967943869174165,,0.015165835693909929,,0.37629153380070574,,0.0,,0.0,,0.00828948554081938,
455,Ephemeroptera_Group_15,Maccaffertium smithae,native,100.0,2.0,native,0.1791880019354433,0.8208119980645574,0.2084354098920804,0.05307322214489744,0.01264777927251282,0.0,0.26277001404789263,0.02342744446768836,0.0,0.0,0.0,0.02490497245884144,0.00961040965581726,0.0
456,Ephemeroptera_Group_16,Maccaffertium mediopunctatum,native,100.0,2.0,native,0.16062599527830876,0.8393740047216917,0.20114542164109075,0.04230791382869676,0.02020194853670415,0.0,0.2539947180236637,0.019020736844106993,0.0,0.0,0.0,0.04501957323325356,0.015827809427196256,0.0
457,Ephemeroptera_Group_17,Maccaffertium vicarium,native,100.0,3.0,native,0.14892741361913894,0.8510725863808615,0.20114542164109075,0.12167751160004438,0.01264777927251282,0.0,0.2539947180236637,0.05617089363207192,0.0,0.0,0.0,0.1059616755795245,0.009909273832524901,0.0
458,Ephemeroptera_Group_18,Stenacron interpunctatum,native,100.0,3.0,native,0.20966998465934913,0.790330015340651,0.15507282467267489,0.0,0.0075783748610367616,0.0,0.18611876024102358,0.0,0.0,0.0,0.0,0.9999999999999999,0.007818048615949324,
459,Ephemeroptera_Group_19,Stenacron interpunctatum,native,100.0,1.0,native,0.1407360346370243,0.8592639653629756,0.15507282467267489,,0.0075783748610367616,,0.18611876024102358,,0.0,,0.0,,0.007818048615949324,
460,Ephemeroptera_Group_2,Procloeon viridoculare,native,100.0,1.0,introduced,0.5352341488918707,0.4647658511081291,0.3735134498883666,,0.09467234831178092,,0.6963173866782693,,0.11716323476045579,,0.0,,0.028889440450070858,
461,Ephemeroptera_Group_20,Stenacron interpunctatum,native,100.0,1.0,native,0.1499108663975605,0.8500891336024394,0.2623411156464162,,0.007586467054703562,,0.3876421929167686,,0.0,,0.0,,0.004033493194246217,
462,Ephemeroptera_Group_21,Eurylophella minimella,native,100.0,1.0,native,0.14522720457514907,0.8547727954248509,0.22927810309385,,0.015092331601436484,,0.32095768154246457,,0.012767567903869414,,0.0,,0.009556690332327606,
463,Ephemeroptera_Group_22,Eurylophella bicolor,native,100.0,1.0,native,0.022130286686580885,0.9778697133134191,0.10298251084269161,,0.002412786919573723,,0.11996837966944701,,0.0,,0.0,,0.0036004527700823183,
464,Ephemeroptera_Group_23,Eurylophella bicolor,native,100.0,3.0,native,0.0652248036637202,0.9347751963362803,0.10298251084269161,0.07461432274373099,0.002412786919573723,0.0218754469099855,0.11996837966944701,0.030835409581014155,0.004080567427728317,0.0379876446339672,0.0,0.013712692027938641,0.0036004527700823183,0.05044429080763182
465,Ephemeroptera_Group_24,Eurylophella prudentalis,native,100.0,4.0,native,0.18355410255176463,0.8164458974482356,0.2770137406490521,0.024570303355559337,0.02216182105547941,0.0,0.40989491714462883,0.011235134637959478,0.0,0.0,0.0,0.1468031771519223,0.011184250277192189,0.0
466,Ephemeroptera_Group_25,Eurylophella macdunnoughi,native,100.0,2.0,native,0.1557485033884048,0.8442514966115955,0.1723560626397586,0.020257478253068617,0.010846520848022359,0.032768783719053673,0.21918034674839476,0.004532470200808569,0.0061208243935954925,0.056981529203122355,0.0,0.5279596618264469,0.009694030402866932,0.5140793657968448
467,Ephemeroptera_Group_26,Eurylophella verisimilis,native,100.0,2.0,native,0.13717259741326093,0.8628274025867394,0.1723560626397586,0.03038014596866276,0.010846520848022359,0.0,0.21918034674839476,0.01365353138131721,0.0,0.0,0.0,0.08302475469645305,0.009694030402866932,0.0
