Number,Order_Group,Species Name,Final Status,Status Confidence,Count,dN/dS_Distance,predict,predict probability,1,dN/dS_Similarity,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,predict_native
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,1.0,0.03377775443,introduced,0.5145081767288491,0.4854918232711511,0.04521040754143754,0.1905274749218126,0.028340365028422902,0.05783050676409876,0.0075619460842153525,0.1724628669363416,0.014237480097405998,0.0,0.01128077503953735,0.0,0.5113155357508368,0.06371976495662902,1.0
48,Coleoptera_Group_138,,,,1.0,0.02609445384,introduced,0.5951288496376789,0.404871150362321,0.04521040754143754,0.18154819525818172,0.028340365028422902,0.048069353130747915,0.0075619460842153525,0.1877031418372365,0.014237480097405998,0.036894373791542215,0.01128077503953735,0.0,0.5113155357508368,0.04922566622367399,1.0
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,1.0,0.03039561124,introduced,0.5948007660742899,0.4051992339257101,0.04521040754143754,0.18460084906448537,0.028340365028422902,0.05611280506614057,0.0075619460842153525,0.18816646061618383,0.014237480097405998,0.03644845167480845,0.01128077503953735,0.0,0.5113155357508368,0.05733954896082981,1.0
50,Coleoptera_Group_14,,,,1.0,0.0888188675,introduced,0.6638590226431241,0.336140977356875,0.04521040754143754,0.39439908459704187,0.028340365028422902,0.25676814299411616,0.0075619460842153525,0.3106174456160517,0.014237480097405998,0.25615728886796246,0.01128077503953735,0.0,0.5113155357508368,0.16755161662811507,0.0
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,2.0,0.02604908613,introduced,0.6264768007758039,0.3735231992241959,0.04521040754143754,0.16845259225407377,0.0,0.046685548298090206,0.0,0.18185332577899702,0.0,0.026128999250173403,0.0,0.0,0.9999999999999999,0.04914008268306855,1.0
52,Coleoptera_Group_141,,,,1.0,0.01731450173,introduced,0.5049568481910703,0.49504315180892977,0.04521040754143754,0.16273369059525244,0.028340365028422902,0.02885563006362031,0.0075619460842153525,0.16712691223816745,0.014237480097405998,0.024652706280753348,0.01128077503953735,0.0,0.5113155357508368,0.03266279831784385,1.0
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,7.0,0.027628616569999997,introduced,0.6462126786188087,0.3537873213811911,0.0,0.1636774132309678,0.006427398317469367,0.04728086599973422,0.0,0.17237051265039294,0.003023282108003434,0.04612913127828651,0.0,0.0,0.7591307007265319,0.052119774793366144,1.0
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,14.0,0.02021729986,introduced,0.5750852052667176,0.4249147947332826,0.09146715311144747,0.20446910754686248,0.007102471979940853,0.04050893048193225,0.0035272698313095516,0.2066359118811083,0.002742068689854641,0.03736601959071446,0.006158731836819457,0.0,0.6173955152697272,0.03813875779713544,1.0
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,3.0,0.004680720728,native,0.17651201156939145,0.8234879884306091,0.0,0.12521917662633575,0.006746446114535873,0.007148458971528432,0.0,0.15079616794310982,0.0030971905721780334,0.0,0.0,0.0,0.5452121524906678,0.008829906832139328,1.0
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,1.0,0.0,native,0.17715503251296075,0.8228449674870406,0.04521040754143754,0.09175017006276183,0.028340365028422902,0.0,0.0075619460842153525,0.11004601121888902,0.014237480097405998,0.0,0.01128077503953735,0.0,0.5113155357508368,0.0,1.0
57,Coleoptera_Group_146,Stenolophus lineola,native,100.0,1.0,0.0,native,0.17715503251296075,0.8228449674870406,0.04521040754143754,0.09175017006276183,0.028340365028422902,0.0,0.0075619460842153525,0.11004601121888902,0.014237480097405998,0.0,0.01128077503953735,0.0,0.5113155357508368,0.0,1.0
58,Coleoptera_Group_147,Chlaenius emarginatus,native,100.0,12.0,0.052116561289999995,native,0.38398754559594667,0.6160124544040534,0.03879409148375971,0.16554335081474608,0.041337951241858996,0.07421690960795543,0.009810216477192497,0.13870652895552693,0.01798116445577966,0.0528409589509992,0.01726713383441111,0.0,0.10243395544370729,0.09831485519940616,1.0
