Number,Order_Group,Species Name,Final Status,Status Confidence,Count,predict,predict probability,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1157,Lepidoptera_Group_419,,,,1.0,native,0.2806491659307613,0.7193508340692394,0.05241104219171582,0.028340365028422902,0.0,0.007561946084215351,0.0850264061588924,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.0,0.04521040754143754
1158,Lepidoptera_Group_42,Cochylis hoffmanana,,33.0,1.0,native,0.3848028132477658,0.6151971867522344,0.08050514395028274,0.028340365028422902,0.06420988861842526,0.007561946084215351,0.09678299070897081,0.014237480097405995,0.08689209860691886,0.01128077503953735,1.6413560362018713e-10,0.5113155357508368,0.11359296118371943,0.04521040754143754
1159,Lepidoptera_Group_420,Schizura ipomoeae,native,33.0,2.0,native,0.3233449682775994,0.6766550317224008,0.05507407846802163,0.0,0.0,0.0,0.09228472594671555,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.04521040754143754
1160,Lepidoptera_Group_421,Schizura badia,native,33.0,2.0,native,0.32156003949238904,0.6784399605076112,0.05379738928329784,0.0,0.0,0.0,0.08049656216234796,0.0,0.0,0.0,0.0,0.9999999999999999,0.0,0.04521040754143754
1161,Lepidoptera_Group_422,Schizura unicornis,native,33.0,3.0,native,0.20853508019872388,0.7914649198012763,0.05379738928329784,0.011990538950191337,0.019131613955959755,0.0,0.08049656216234796,0.006888517130478628,0.01249979370607327,0.0,0.0,0.26411151166829316,0.03891729697081307,0.0
1162,Lepidoptera_Group_423,Phyciodes tharos,native,33.0,2.0,native,0.2377901492918405,0.7622098507081596,0.10888488210952266,0.03438097353846872,0.05334658001775204,0.0,0.11883965497789786,0.019823999870614475,0.024539628856028024,0.0,0.0,0.04490668322890729,0.0802169354735532,0.0
1163,Lepidoptera_Group_424,Pyrrharctia isabella,native,33.0,1.0,native,0.34477661204951926,0.655223387950481,0.10414296014213212,0.028340365028422902,0.035457153281723754,0.007561946084215351,0.15032599424080786,0.014237480097405995,0.012241675535187967,0.01128077503953735,0.0,0.5113155357508368,0.043912676594956464,0.04521040754143754
1164,Lepidoptera_Group_425,Heterocampa guttivitta,native,33.0,1.0,native,0.2973719260014187,0.7026280739985816,0.10388891008357487,0.028340365028422902,0.014215890239997945,0.007561946084215351,0.16197109477647395,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.016527806296400997,0.04521040754143754
1165,Lepidoptera_Group_426,Agonopterix robiniella,native,33.0,1.0,native,0.3226098071839422,0.6773901928160582,0.09209178690537212,0.028340365028422902,0.03838035176762321,0.007561946084215351,0.11858014538252551,0.014237480097405995,0.03689436817446285,0.01128077503953735,0.0,0.5113155357508368,0.05781435183346682,0.04521040754143754
1166,Lepidoptera_Group_427,Heterocampa umbrata,native,33.0,2.0,native,0.34333922138607,0.6566607786139297,0.10388891008357487,0.0,0.014215890239997945,0.0,0.13851372591709546,0.0,0.0,0.0,0.0,0.9999999999999999,0.018853515587935476,0.04521040754143754
1167,Lepidoptera_Group_428,Hypena eductalis,,33.0,1.0,native,0.2833009297419737,0.716699070258027,0.05970535880895237,0.028340365028422902,0.0,0.007561946084215351,0.09732165957078803,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.0,0.04521040754143754
1168,Lepidoptera_Group_429,Hypena baltimoralis,native,33.0,5.0,native,0.28196984233589467,0.7180301576641057,0.05970535880895237,0.0068663344709100444,0.0,0.0,0.09732165957078803,0.003791705652303703,0.0,0.0,0.0,0.5063989809963607,0.0,0.0
1169,Lepidoptera_Group_43,Coelostathma discopunctana,,33.0,1.0,native,0.3584974295102355,0.6415025704897644,0.10747311928059836,0.028340365028422902,0.04983989177798324,0.007561946084215351,0.1381007292636,0.014237480097405995,0.03689436817446285,0.01128077503953735,0.0,0.5113155357508368,0.06626323851101927,0.04521040754143754
1170,Lepidoptera_Group_430,Ptichodis bistrigata,native,33.0,1.0,native,0.3273181963331066,0.6726818036668937,0.1014107952065526,0.028340365028422902,0.028403386818007113,0.007561946084215351,0.14453780594010637,0.014237480097405995,0.0,0.01128077503953735,0.0,0.5113155357508368,0.03635559395670089,0.04521040754143754
1171,Lepidoptera_Group_431,Phaeoura quernaria,native,33.0,2.0,native,0.21398588771061974,0.78601411228938,0.10192696182439992,0.04305147919476767,0.019393155074953865,0.0,0.14210247795122014,0.024781464181770293,0.0,0.0,0.0,0.024777582453936922,0.025177723706501908,0.0
