Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
37,Coleoptera_Group_128,,,,,0,,1,introduced,0.5927548275004934,0.4072451724995066,0.18920978412523748,,0.03921736483821427,,0.23525627756972284,,0.025363925029965116,,0.0,,0.032911497700747576,
38,Coleoptera_Group_129,Calosoma frigidum,native,100.0,100.0,1,1.0,1,native,0.466340815444373,0.533659184555627,0.18243555487446383,,0.02885563006362031,,0.222518748496144,,0.024652706280753348,,0.0,,0.0254461789257115,
39,Coleoptera_Group_13,Judolia cordifera,native,100.0,100.0,1,1.0,1,introduced,0.6810105740814552,0.3189894259185445,0.3447415615683001,,0.16480200667379186,,0.3383723897097634,,0.17670195084108678,,0.0,,0.09939734603031047,
40,Coleoptera_Group_130,Carabus nemoralis,introduced,100.0,100.0,1,2.0,17,native,0.38362699766469743,0.6163730023353027,0.17300197972675524,0.0,0.025528914301484535,0.0,0.21322568530297237,0.0,0.012651826482961781,0.0,0.0,0.9999999999999999,0.023379139657616815,
41,Coleoptera_Group_131,Carabus serratus,native,100.0,100.0,1,1.0,18,native,0.351008432193759,0.6489915678062416,0.17300197972675524,0.011045209736393271,0.025528914301484535,0.0,0.21322568530297237,0.0050777634748088146,0.012651826482961781,0.0,0.0,0.5378797922083719,0.023379139657616815,0.0
42,Coleoptera_Group_132,Habrocerus capillaricornis,introduced,100.0,50.0,1,1.0,1,introduced,0.6773313146885568,0.3226686853114426,0.24591991241819183,,0.1159460823453571,,0.22296235937044667,,0.06888276879857921,,0.0,,0.10206581634452486,
43,Coleoptera_Group_133,,,,,0,,2,introduced,0.6807597685792828,0.3192402314207165,0.18844146048306248,0.010106499183312283,0.07449369411283277,0.0,0.17560880256846986,0.004704593744651175,0.06177641097890796,0.0,0.0,0.3177992037352693,0.08081283451048261,0.0
44,Coleoptera_Group_134,Trechus apicalis,native,66.0,100.0,1,1.0,2,introduced,0.6675648451343278,0.3324351548656714,0.18961296661196647,0.010106499183312283,0.06954141089515457,0.0,0.19270177024943214,0.004764914290439858,0.036894373791542215,0.0,0.0,0.3177796937345182,0.06960269001562912,0.0
45,Coleoptera_Group_135,,,,,0,,3,introduced,0.7083281503730408,0.2916718496269585,0.18844146048306248,0.0,0.08230135886795706,0.0,0.17560880256846986,0.0,0.05257564032631808,0.0,4.739990796134376e-14,0.9999999999999999,0.08928280672051175,
46,Coleoptera_Group_136,Tachys scitulus,native,100.0,100.0,1,1.0,1,introduced,0.6236065175311519,0.3763934824688477,0.19342860693446123,,0.03732140801422716,,0.21292033340766572,,0.04965208572722334,,0.0,,0.034221880085163615,
47,Coleoptera_Group_137,Clivina dentipes,native,100.0,100.0,1,1.0,1,introduced,0.5134393622403836,0.48656063775961655,0.1905274749218126,,0.05783050676409876,,0.1724628669363416,,0.0,,0.0,,0.06371976495662902,
48,Coleoptera_Group_138,,,,,0,,1,introduced,0.636924902069382,0.3630750979306176,0.18154819525818172,,0.048069353130747915,,0.1877031418372365,,0.036894373791542215,,0.0,,0.04922566622367399,
49,Coleoptera_Group_139,Coptotomus longulus,native,100.0,100.0,1,1.0,1,introduced,0.6593407111433583,0.34065928885664115,0.18460084906448537,,0.05611280506614057,,0.18816646061618383,,0.03644845167480845,,0.0,,0.05733954896082981,
50,Coleoptera_Group_14,,,,,0,,1,introduced,0.6822393661983543,0.3177606338016453,0.39439908459704187,,0.25676814299411616,,0.3106174456160517,,0.25615728886796246,,0.0,,0.16755161662811507,
51,Coleoptera_Group_140,Oxypselaphus pusillus,native,100.0,100.0,1,1.0,2,introduced,0.6711024952369674,0.32889750476303237,0.16845259225407377,0.0,0.046685548298090206,0.0,0.18185332577899702,0.0,0.026128999250173403,0.0,0.0,0.9999999999999999,0.04914008268306855,
52,Coleoptera_Group_141,,,,,0,,1,introduced,0.5027039676810207,0.4972960323189794,0.16273369059525244,,0.02885563006362031,,0.16712691223816745,,0.024652706280753348,,0.0,,0.03266279831784385,
53,Coleoptera_Group_142,Syntomus americanus,native,100.0,100.0,1,1.0,7,introduced,0.6909972141750277,0.30900278582497154,0.1636774132309678,0.006427398317469367,0.04728086599973422,0.0,0.17237051265039294,0.003023282108003434,0.04612913127828651,0.0,0.0,0.7591307007265319,0.052119774793366144,0.0
54,Coleoptera_Group_143,Calathus ingratus,native,100.0,100.0,1,1.0,14,introduced,0.6271789456350024,0.37282105436499735,0.20446910754686248,0.007102471979940853,0.04050893048193225,0.0035272698313095516,0.2066359118811083,0.002742068689854641,0.03736601959071446,0.006158731836819457,0.0,0.6173955152697272,0.03813875779713544,0.09146715311144747
55,Coleoptera_Group_144,Stenolophus ochropezus,native,100.0,100.0,1,1.0,3,native,0.18969724321932832,0.8103027567806719,0.12521917662633575,0.006746446114535873,0.007148458971528432,0.0,0.15079616794310982,0.0030971905721780334,0.0,0.0,0.0,0.5452121524906678,0.008829906832139328,0.0
56,Coleoptera_Group_145,Stenolophus comma,native,100.0,100.0,1,1.0,1,native,0.03320442975534458,0.9667955702446553,0.09175017006276183,,0.0,,0.11004601121888902,,0.0,,5.123485197116122e-14,,0.0,
