,Group,Species,N,Status,Regions,Group2,predict,MLdistance,MLsimilarity,AAdistance,AAsimilarity,ZtestDistance,ZtestSimilarity,Nsdistance,Nssimilarity,PatristicDistance,PatristicSimilarity
120,Group_45,,1,,,group_45,native,0.04721605,,0.0,,0.0,,0.0,,0.047,
121,Group_46,,1,,,group_46,native,0.05563847,,0.00474534,,0.0,,0.00203809,,0.047,
122,Group_47,,3,,,group_47,introduced,0.13613814,0.00101574,0.07586575,0.00305111,0.0,0.54590211,0.03720901,0.00129955,0.13433333,0.00133333
123,Group_48,Polistes aurifer,3,native,nearctic,group_48,introduced,0.22563008,0.002084,0.1815598,0.0,0.0,0.43796605,0.10391836,0.0,0.21966667,0.004
124,Group_49,,1,,,group_49,native,0.12530394,,0.07586575,,0.0,,0.03562983,,0.11699999999999999,
125,Group_5,,12,,,group_5,native,0.05210228,0.00025543,0.00457667,0.0,0.0,0.88627889,0.00196721,0.0,0.05283333,0.00171212
126,Group_50,,8,,,group_50,native,0.05902218,0.00612936,0.00457667,0.0,0.0,0.41910397,0.00198544,0.0,0.059125,0.00621429
127,Group_51,,1,,,group_51,native,0.06188753,,0.0,,0.0,,0.0,,0.059000000000000004,
128,Group_52,,1,,,group_52,introduced,0.18332214,,0.1008047,,0.0,,0.06950834,,0.17800000000000002,
129,Group_53,Cymodusa distincta,1,native,nearctic,group_53,introduced,0.16657054,,0.105868,,0.0,,0.07437375,,0.172,
130,Group_54,,1,,,group_54,introduced,0.19573706,,0.105868,,0.0,,0.07395655,,0.2,
131,Group_55,,1,,,group_55,introduced,0.18021764,,0.15262977,,0.0,,0.10928386,,0.179,
132,Group_56,,1,,,group_56,introduced,0.16642844,,0.07659245,,0.0,,0.06157657,,0.16899999999999998,
133,Group_57,Dolichoderus sp.,2,,,group_57,introduced,0.18401137,0.0,0.07586575,0.0,0.0,1.0,0.0439499,0.0,0.182,0.0
134,Group_58,,1,,,group_58,introduced,0.16108314,,0.13554549,,0.0,,0.0735413,,0.16,
135,Group_59,,1,,,group_59,introduced,0.21474932,,0.14732471,,0.0,,0.09415434,,0.196,
136,Group_6,Prenolepis imparis,10,native,nearctic,group_6,introduced,0.1447067,0.00162606,0.03694767,0.00174962,0.0,0.47711606,0.03437972,0.00075981,0.15145,0.00282222
137,Group_60,,1,,,group_60,introduced,0.23026104,,0.09576691,,0.0,,0.07735594,,0.252,
138,Group_61,,1,,,group_61,introduced,0.13973104,,0.09075436,,0.0,,0.06035426,,0.139,
139,Group_62,,1,,,group_62,introduced,0.12745392,,0.08659253,,0.0,,0.04921478,,0.125,
140,Group_63,Apanteles ensiger,2,native,nearctic,group_63,introduced,0.14810976,0.0,0.07586575,0.0,0.0,1.0,0.05069497,0.0,0.14400000000000002,0.0
141,Group_64,,1,,,group_64,introduced,0.21130357,,0.11426809,,0.0,,0.07500893,,0.182,
142,Group_65,,1,,,group_65,introduced,0.12236040000000001,,0.06606175,,0.0,,0.03092193,,0.135,
143,Group_66,,1,,,group_66,native,0.10401721,,0.05635294,,0.0,,0.03050144,,0.10300000000000001,
144,Group_67,Osmia simillima,1,native,nearctic,group_67,native,0.04865297,,0.01519017,,0.0,,0.0108501,,0.048,
145,Group_68,,1,,,group_68,native,0.05307464,,0.02421426,,0.0,,0.01448321,,0.053,
146,Group_69,,1,,,group_69,native,0.17306196,,0.105868,,0.0,,0.07549692,,0.10300000000000001,
147,Group_7,Tapinoma sessile,6,native,nearctic,group_7,native,0.07585189,0.01091964,0.00470589,0.0,0.0,0.01983497,0.00408396,0.0,0.07766667,0.01233333
148,Group_70,Perilampus stygicus,1,native,nearctic,group_70,introduced,0.14487628,,0.11488028,,0.0,,0.06846857,,0.14300000000000002,
149,Group_71,Lasius alienus,1,,cosmopolitan,group_71,native,0.10466677,,0.00917438,,0.0,,0.00592888,,0.11182353,
150,Group_72,Lasius claviger,2,native,nearctic,group_72,introduced,0.09242234,0.0,0.01379332,0.0,0.0,1.0,0.00989134,0.0,0.099,0.0
151,Group_73,,2,,,group_73,native,0.09063766,0.01225895,0.0395889,0.00457667,0.0,0.01099861,0.01886993,0.00196464,0.08725,0.012
152,Group_74,,1,,,group_74,native,0.0807023,,0.0184337,,0.0,,0.01186968,,0.079,
153,Group_75,Lasius flavus,2,,cosmopolitan,group_75,native,0.10080606,0.00611024,0.01881917,0.0,0.0,0.04479753,0.01371869,0.0,0.079,0.006
154,Group_76,Ceratina calcarata,13,native,nearctic,group_76,native,0.16519946,0.015514600000000002,0.13679829999999998,0.0,0.0,0.04652208,0.07967666,0.0,0.15884615,0.01653846
155,Group_77,,1,,,group_77,introduced,0.17800471,,0.11607217,,0.0,,0.06941367,,0.18,
156,Group_78,,1,,,group_78,native,0.13677191,,0.04317217,,0.0,,0.03592566,,0.121,
157,Group_79,Lasioglossum coriaceum,1,native,nearctic,group_79,introduced,0.14157060000000002,,0.0419642,,0.0,,0.03207973,,0.138,
158,Group_8,Diolcogaster jft29,6,,,group_8,introduced,0.19382497,0.0,0.19611488,0.0,0.0,1.0,0.12543806,0.0,0.188,0.0
159,Group_80,,1,,,group_80,native,0.09038089,,0.0419642,,0.0,,0.02473023,,0.08900000000000001,
160,Group_81,Halictus rubicundus,1,,nearctic / palearctic,group_81,introduced,0.13169333,,0.0419642,,0.0,,0.02894571,,0.14,
161,Group_82,,1,,,group_82,introduced,0.16290219,,0.12121357,,0.0,,0.06287464,,0.13433333,
162,Group_83,Lasioglossum pectorale,1,native,nearctic,group_83,native,0.08666498,,0.01690181,,0.0,,0.01087851,,0.085,
163,Group_84,,1,,,group_84,introduced,0.16304202,,0.12638154,,0.0,,0.08307664,,0.179,
164,Group_85,,1,,,group_85,native,0.05558582,,0.03278982,,0.0,,0.01587886,,0.055999999999999994,
