Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,predict prob,1,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
19,Coleoptera_Group_112,,,,,0,,1,introduced,0.5100116110914981,0.4899883889085021,0.22478031296627754,0.05037945131056341,0.05419744365862955,0.041723175312406005,0.22824730977846625,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.04672604276168458,0.04745380300671628
20,Coleoptera_Group_113,,,,,0,,1,introduced,0.639445554184671,0.3605544458153293,0.23182614970305715,0.05037945131056341,0.0988376953312474,0.041723175312406005,0.20801320657554032,0.06532519391654028,0.06888276879857921,0.03820208068461324,0.0,0.5321156457992706,0.09251210847843325,0.04745380300671628
21,Coleoptera_Group_114,,,,,0,,1,introduced,0.5140128791230668,0.4859871208769333,0.2283881970746648,0.05037945131056341,0.05235907592465039,0.041723175312406005,0.24772300389446578,0.06532519391654028,0.036894373791542215,0.03820208068461324,0.0,0.5321156457992706,0.04195472994934251,0.04745380300671628
22,Coleoptera_Group_115,,,,,0,,1,native,0.4777555899040347,0.5222444100959653,0.1934286069344613,0.05037945131056341,0.03732140801422716,0.041723175312406005,0.2008602105221002,0.06532519391654028,0.051193901392492705,0.03820208068461324,0.0,0.5321156457992706,0.03602377487698532,0.04745380300671628
23,Coleoptera_Group_116,Enochrus ochraceus,native,100.0,100.0,1,1.0,6,native,0.451396006569796,0.548603993430204,0.24955756549144553,0.5042182650935575,0.06521257416373492,0.0,0.2683421724339415,0.7086431154116675,0.012241667510788874,0.0,0.0,0.009189651853801597,0.04862060839903737,0.0
24,Coleoptera_Group_117,Sphaeroderus canadensis,native,100.0,100.0,1,1.0,45,native,0.1890738891851893,0.8109261108148106,0.12770612580618282,0.01898997928340166,0.0010368664112932427,0.05142551484200522,0.15751727470842045,0.018211393822139606,0.0013601852790954216,0.05046033678303305,0.0,0.5910889242569236,0.001234402639911133,0.16486501812588591
25,Coleoptera_Group_118,Sphaeroderus stenostomus,native,100.0,100.0,1,2.0,2,native,0.16282527486941267,0.837174725130588,0.04008290971237274,0.0,0.0002246648504861898,0.0,0.0475160326279211,0.0,0.00038255210984589234,0.0,1.9941708851050772e-09,1.0,0.0006583681581305027,0.04745380300671628
26,Coleoptera_Group_119,Dineutus nigrior,native,100.0,100.0,1,1.0,2,introduced,0.6562728525524274,0.34372714744757304,0.2034729379900187,0.10983389135642578,0.0802534884989937,0.0,0.19512062645647107,0.1450513142151324,0.06177641097890796,0.0,0.0,0.024838092456266565,0.07945414186292848,0.0
27,Coleoptera_Group_12,Cryptarcha ampla,native,100.0,100.0,1,1.0,1,introduced,0.6407837678582725,0.3592162321417278,0.34595187078517514,0.05037945131056341,0.17824144099367853,0.041723175312406005,0.29938796640417037,0.06532519391654028,0.1483288663286772,0.03820208068461324,8.666973462187451e-14,0.5321156457992706,0.12029692749527807,0.04745380300671628
28,Coleoptera_Group_120,Brachinus fulminatus,native,100.0,100.0,1,1.0,2,introduced,0.6211025957398628,0.3788974042601371,0.2048207613699966,0.6777154301717508,0.07511909007243134,0.8394037138618929,0.19849270384710818,0.8185368420046406,0.0633076599014652,0.467878421926851,0.0,4.185000161122507e-07,0.07326454842539634,0.0598722676513877
