Number,Order_Group,Species_Name,Final_Status,Status_Confidence,Database_Confidence,Group_Count,Species_Count,Sequence_Count,predict,prob. introduced,prob. native,ML_Distance,ML_Similarity,dN_Distance,dN_Similarity,dS_Distance,dS_Similarity,AA_Distance,AA_Similarity,Ztest_Distance,Ztest_Similarity,dN/dS_Distance,dN/dS_Similarity
1325,Lepidoptera_Group_559,Coleophora puberuloides,,33.0,,1,1.0,1,native,0.41697970323112965,0.5830202967688705,0.007436991731085543,,0.029027160079823033,,0.00932957148339239,,0.038121298796069986,,5.430280717901518e-06,,0.17105339404642003,
1326,Lepidoptera_Group_56,Epiblema strenuana,,33.0,,1,2.0,1,native,0.08719196479734284,0.9128080352026573,0.07608500560747,,0.007456708019414855,,0.1209368913252854,,0.0,,1.2747353888633225e-14,,0.011054917248122534,
1327,Lepidoptera_Group_560,,,,,0,,1,introduced,0.5639128421352386,0.43608715786476115,0.14104369537595085,,0.030025339267038455,,0.20003703322427863,,0.02571942950695123,,0.0,,0.029085916316280876,
1328,Lepidoptera_Group_561,Lithophane lepida,native,33.0,50.0,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.03828016051656796,,0.0,,0.06665320251017143,,0.0,,2.346985734008283e-10,,0.0,
1329,Lepidoptera_Group_562,Euplexia benesimilis,native,33.0,50.0,1,2.0,1,native,0.05425440524742987,0.9457455947525701,0.012869323886477248,,0.0,,0.03016454532231365,,0.0,,1.1244055836784782e-08,,0.0,
1330,Lepidoptera_Group_563,Zale minerea,native,33.0,50.0,1,2.0,1,native,0.05425440524742987,0.9457455947525701,0.009043370068821555,,0.0,,0.026065184689084447,,0.0,,5.016106764841233e-07,,0.0,
1331,Lepidoptera_Group_564,Operophtera bruceata,native,33.0,50.0,1,1.0,39,native,0.13825643409777458,0.8617435659022256,0.0858373513360459,0.017179107020860174,0.017369183864238944,0.021605582547286183,0.1360570511644616,0.006486959949382359,0.0029759821443211187,0.037034937400405914,2.1015493173799663e-15,0.4934257704968921,0.023380054204559683,0.23682610472699162
1332,Lepidoptera_Group_565,,,,,0,,1,introduced,0.6499693870532618,0.350030612946738,0.1644365117295774,,0.15049563648065892,,0.14305668078646386,,0.10594651572165682,,4.4638748274275197e-10,,0.19429658611233497,
1333,Lepidoptera_Group_566,,,,,0,,1,introduced,0.5307929148563564,0.4692070851436433,0.09923131971475495,,0.031239771682375884,,0.1449522917092335,,0.03943264609615526,,2.454364166283172e-10,,0.03989036842866736,
1334,Lepidoptera_Group_567,Coleophora alnifoliae,,33.0,,1,1.0,1,native,0.45631082573340576,0.5436891742665942,0.08515631331297603,,0.0495607110964786,,0.10689616145880154,,0.05270711529084823,,2.2702868538119344e-10,,0.08111323337543637,
1335,Lepidoptera_Group_568,Peridroma saucia,native,33.0,50.0,1,1.0,1,native,0.06564690598739374,0.9343530940126062,0.05972027557527429,,0.015060317747544143,,0.08734253834459232,,0.0,,4.172419082681392e-11,,0.028820145258392653,
1336,Lepidoptera_Group_569,,,,,0,,1,native,0.44981391691617234,0.5501860830838277,0.08177870311809243,,0.05741212650961493,,0.09739481341607828,,0.027575499765593932,,3.021935879736155e-09,,0.1010722969526287,
1337,Lepidoptera_Group_57,Epiblema strenuana,,33.0,,1,2.0,2,native,0.07134305727688682,0.9286569427231133,0.07608500560747,0.009409160810243393,0.007456708019414855,0.0,0.1209368913252854,0.005259386668376366,0.0,0.0,1.405123485197116e-13,0.31761975372836054,0.011054917248122534,0.0
1338,Lepidoptera_Group_570,Zale minerea,native,33.0,50.0,1,2.0,1,native,0.05425440524742987,0.9457455947525701,0.009043370068821555,,0.0,,0.026065184689084447,,0.0,,4.3564963951526305e-08,,0.0,
1339,Lepidoptera_Group_571,Xestia homogena,native,33.0,50.0,1,1.0,1,native,0.06564690598739374,0.9343530940126062,0.03247099221053258,,0.007567620761558511,,0.04939717250800211,,0.013079743776657224,,2.546402822518791e-09,,0.02156453869990269,
1340,Lepidoptera_Group_572,Bleptina caradrinalis,native,33.0,50.0,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.058141530815436826,,0.0075354649393562225,,0.0786832685534064,,0.0,,1.495628163828808e-10,,0.015588633085030246,
1341,Lepidoptera_Group_573,Zale galbanata,native,33.0,50.0,1,1.0,1,native,0.3084275317724335,0.6915724682275667,0.02981079977816585,,0.0150465113294021,,0.047612375913564646,,0.02622373624206745,,2.4390243902439025e-09,,0.04388580313860659,
1342,Lepidoptera_Group_574,Donacaula nr. melinellus,,,,1,1.0,2,native,0.3884243181985354,0.6115756818014642,0.0081094087932835,0.08816518112843574,0.021734638410858275,0.07808408527741896,0.010351853524064307,0.035691618627261355,0.03767573066232829,0.13833963924154663,2.62310170271514e-06,0.028934922613994517,0.12468209957300788,0.15556113071035219
1343,Lepidoptera_Group_575,Acronicta oblinita,native,33.0,50.0,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.040516924260798656,,0.007572980065258894,,0.0656881266350921,,0.0,,7.470470931124406e-11,,0.017834905649709173,
1344,Lepidoptera_Group_576,,,,,0,,1,native,0.4689835095097656,0.5310164904902345,0.0047607378404968675,,0.0397603547244327,,0.002725339497462318,,0.06876471357161537,,1.0737843227488877e-05,,0.28435911565437777,
1345,Lepidoptera_Group_577,Parasa chloris,,33.0,,1,1.0,1,introduced,0.5278117504894216,0.4721882495105781,0.09941538259511347,,0.06578996041602317,,0.12488219920283314,,0.04244233071667487,,2.193587973615585e-12,,0.0950227175960144,
1346,Lepidoptera_Group_578,Cameraria ulmella,native,33.0,50.0,1,1.0,1,native,0.3777425579973222,0.6222574420026774,0.05423584205262144,,0.02309693082100226,,0.0782379273101016,,0.02661513968191871,,2.132228869458506e-11,,0.04798061201379171,
1347,Lepidoptera_Group_579,Niphonyx segregata,introduced,33.0,50.0,1,1.0,1,native,0.17551917328070757,0.8244808267192926,0.05750129032711555,,0.023080249544583854,,0.07851826788615365,,0.013274469194692974,,8.375517717441325e-09,,0.04781999408442438,
1348,Lepidoptera_Group_58,Gynnidomorpha romonana,,33.0,,1,1.0,1,native,0.08820593622386236,0.9117940637761378,0.09708673944009648,,0.017687157386435746,,0.11037545517491787,,0.012241675535187967,,2.7458199110292987e-10,,0.028220709011198858,
1349,Lepidoptera_Group_580,Chionodes mediofuscella,,33.0,,1,1.0,1,native,0.17551917328070757,0.8244808267192926,0.061582045407387875,,0.02313671743986403,,0.08858064232287333,,0.013274469194692974,,2.975916551618346e-11,,0.04380607317004595,
1350,Lepidoptera_Group_581,Pseudexentera costomaculana,,33.0,,1,1.0,1,native,0.05425440524742987,0.9457455947525701,0.06290541655865872,,0.0077493756903641645,,0.0979435109309344,,0.0,,5.951833103236692e-13,,0.013583191469976745,
1351,Lepidoptera_Group_582,Bibarrambla allenella,,33.0,,1,1.0,1,introduced,0.5966463072690198,0.4033536927309803,0.11782483641950316,,0.051159735663454005,,0.14699397322875404,,0.02899407978558378,,3.650866697346218e-12,,0.06456500780381604,
1352,Lepidoptera_Group_583,Asaphocrita busckiella,,33.0,,1,1.0,1,introduced,0.6359684867168638,0.3640315132831359,0.15191971717667968,,0.06305327279731247,,0.2002136639678054,,0.031419828883968985,,0.0,,0.06103324703567392,
1353,Lepidoptera_Group_584,Phaecasiophora confixana,,33.0,,1,1.0,3,native,0.25280961079326814,0.7471903892067316,0.09546043630897603,0.01928001426881102,0.031602891127134845,0.0,0.12795614150157403,0.010945551418879318,0.01356746675364402,0.0,3.727565577542568e-11,0.38830945644991405,0.04474655121617219,0.0
1354,Lepidoptera_Group_585,Apoda y-inversum,,33.0,,1,1.0,1,native,0.294339673543443,0.7056603264565565,0.09027140483976807,,0.03924738772852797,,0.12372486934871726,,0.016240367344151525,,8.912409878815768e-09,,0.05711822022485404,
